Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
0,-15.0,100,0.2,0F0C23C0E251DE600EA2A6801DAE21A0F25135C0,0F0C23C0,E251DE60,0EA2A680,1DAE21A0,F25135C0,252453824,3797016160,245540480,497951136,4065408448
1,-15.0,100,0.2,0F0FFF90E2487BA00EA82DA01DB78460F247D2D0,0F0FFF90,E2487BA0,0EA82DA0,1DB78460,F247D2D0,252706704,3796401056,245902752,498566240,4064793296
2,-15.0,100,0.21,0F13CCF0E23F3C200EADA0101DC0C3E0F23E9300,0F13CCF0,E23F3C20,0EADA010,1DC0C3E0,F23E9300,252955888,3795794976,246259728,499172320,4064187136
3,-15.0,100,0.21,0F178C10E2361F200EB2FE101DC9E0E0F23575E0,0F178C10,E2361F20,0EB2FE10,1DC9E0E0,F23575E0,253201424,3795197728,246611472,499769568,4063589856
4,-15.0,100,0.21,0F1B3D10E22D24A00EB847D01DD2DB60F22C7B20,0F1B3D10,E22D24A0,0EB847D0,1DD2DB60,F22C7B20,253443344,3794609312,246958032,500357984,4063001376
5,-15.0,100,0.22,0F1EE020E2244BE00EBD7DB01DDBB420F223A230,0F1EE020,E2244BE0,0EBD7DB0,1DDBB420,F223A230,253681696,3794029536,247299504,500937760,4062421552
6,-15.0,100,0.22,0F227570E21B94A00EC29FD01DE46B60F21AEAC0,0F227570,E21B94A0,0EC29FD0,1DE46B60,F21AEAC0,253916528,3793458336,247635920,501508960,4061850304
7,-15.0,100,0.23,0F25FD30E212FE600EC7AE701DED01A0F2125460,0F25FD30,E212FE60,0EC7AE70,1DED01A0,F2125460,254147888,3792895584,247967344,502071712,4061287520
8,-15.0,100,0.23,0F297780E20A88E00ECCA9E01DF57720F209DEA0,0F297780,E20A88E0,0ECCA9E0,1DF57720,F209DEA0,254375808,3792341216,248293856,502626080,4060733088
9,-15.0,100,0.23,0F2CE480E20233800ED192601DFDCC80F2018920,0F2CE480,E2023380,0ED19260,1DFDCC80,F2018920,254600320,3791795072,248615520,503172224,4060186912
10,-15.0,100,0.24,0F304480E1F9FE000ED668101E060200F1F95370,0F304480,E1F9FE00,0ED66810,1E060200,F1F95370,254821504,3791257088,248932368,503710208,4059648880
11,-15.0,100,0.24,0F339790E1F1E8000EDB2B401E0E1800F1F13D30,0F339790,E1F1E800,0EDB2B40,1E0E1800,F1F13D30,255039376,3790727168,249244480,504240128,4059118896
12,-15.0,100,0.25,0F36DDE0E1E9F0E00EDFDC301E160F20F1E945F0,0F36DDE0,E1E9F0E0,0EDFDC30,1E160F20,F1E945F0,255253984,3790205152,249551920,504762144,4058596848
13,-15.0,100,0.25,0F3A1790E1E218800EE47B201E1DE780F1E16D50,0F3A1790,E1E21880,0EE47B20,1E1DE780,F1E16D50,255465360,3789691008,249854752,505276288,4058082640
14,-15.0,100,0.25,0F3D44E0E1DA5E400EE908301E25A1C0F1D9B2F0,0F3D44E0,E1DA5E40,0EE90830,1E25A1C0,F1D9B2F0,255673568,3789184576,250153008,505782720,4057576176
15,-15.0,100,0.26,0F4065E0E1D2C1E00EED83C01E2D3E20F1D21660,0F4065E0,E1D2C1E0,0EED83C0,1E2D3E20,F1D21660,255878624,3788685792,250446784,506281504,4057077344
16,-15.0,100,0.26,0F437AD0E1CB43000EF1EDF01E34BD00F1CA9750,0F437AD0,E1CB4300,0EF1EDF0,1E34BD00,F1CA9750,256080592,3788194560,250736112,506772736,4056586064
17,-15.0,100,0.27,0F4683C0E1C3E1200EF647001E3C1EE0F1C33540,0F4683C0,E1C3E120,0EF64700,1E3C1EE0,F1C33540,256279488,3787710752,251021056,507256544,4056102208
18,-15.0,100,0.27,0F4980F0E1BC9BE00EFA8F301E436420F1BBEFF0,0F4980F0,E1BC9BE0,0EFA8F30,1E436420,F1BBEFF0,256475376,3787234272,251301680,507733024,4055625712
19,-15.0,100,0.28,0F4C7280E1B573000EFEC6B01E4A8D00F1B4C6E0,0F4C7280,E1B57300,0EFEC6B0,1E4A8D00,F1B4C6E0,256668288,3786765056,251578032,508202240,4055156448
20,-15.0,100,0.28,0F4F5890E1AE66000F02EDC01E519A00F1ADB9C0,0F4F5890,E1AE6600,0F02EDC0,1E519A00,F1ADB9C0,256858256,3786302976,251850176,508664320,4054694336
21,-15.0,100,0.29,0F523340E1A774A00F0704901E588B60F1A6C830,0F523340,E1A774A0,0F070490,1E588B60,F1A6C830,257045312,3785847968,252118160,509119328,4054239280
22,-15.0,100,0.29,0F5502D0E1A09E600F0B0B601E5F61A0F19FF1C0,0F5502D0,E1A09E60,0F0B0B60,1E5F61A0,F19FF1C0,257229520,3785399904,252382048,509567392,4053791168
23,-15.0,100,0.3,0F57C760E199E3000F0F02701E661D00F1993630,0F57C760,E199E300,0F0F0270,1E661D00,F1993630,257410912,3784958720,252641904,510008576,4053349936
24,-15.0,100,0.3,0F5A8100E19342000F12E9E01E6CBE00F1929520,0F5A8100,E1934200,0F12E9E0,1E6CBE00,F1929520,257589504,3784524288,252897760,510443008,4052915488
25,-15.0,100,0.31,0F5D2FF0E18CBB200F16C2001E7344E0F18C0E10,0F5D2FF0,E18CBB20,0F16C200,1E7344E0,F18C0E10,257765360,3784096544,253149696,510870752,4052487696
26,-15.0,100,0.31,0F5FD450E1864E000F1A8AE01E79B200F185A0D0,0F5FD450,E1864E00,0F1A8AE0,1E79B200,F185A0D0,257938512,3783675392,253397728,511291904,4052066512
27,-15.0,100,0.32,0F626E40E17FFA400F1E44E01E8005C0F17F4CE0,0F626E40,E17FFA40,0F1E44E0,1E8005C0,F17F4CE0,258108992,3783260736,253641952,511706560,4051651808
28,-15.0,100,0.32,0F64FDE0E179BF800F21F0201E864080F1791200,0F64FDE0,E179BF80,0F21F020,1E864080,F1791200,258276832,3782852480,253882400,512114816,4051243520
29,-15.0,100,0.33,0F678350E1739D800F258CD01E8C6280F172EFE0,0F678350,E1739D80,0F258CD0,1E8C6280,F172EFE0,258442064,3782450560,254119120,512516736,4050841568
