Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
0,0.1,100,0.2,100180E0E10453200EFADC201EFBACE0F103A310,100180E0,E1045320,0EFADC20,1EFBACE0,F103A310,268533984,3775157024,251321376,519810272,4043547408
1,0.1,100,0.2,10017A80E1000A200EFF2B901EFFF5E0F0FF59F0,10017A80,E1000A20,0EFF2B90,1EFFF5E0,F0FF59F0,268532352,3774876192,251603856,520091104,4043266544
2,0.1,100,0.21,10017440E0FBD2A00F0369701F042D60F0FB2250,10017440,E0FBD2A0,0F036970,1F042D60,F0FB2250,268530752,3774599840,251881840,520367456,4042990160
3,0.1,100,0.21,10016E20E0F7AC600F0795F01F0853A0F0F6FC00,10016E20,E0F7AC60,0F0795F0,1F0853A0,F0F6FC00,268529184,3774327904,252155376,520639392,4042718208
4,0.1,100,0.21,10016800E0F397200F0BB1501F0C68E0F0F2E6B0,10016800,E0F39720,0F0BB150,1F0C68E0,F0F2E6B0,268527616,3774060320,252424528,520906976,4042450608
5,0.1,100,0.22,10016220E0EF92A00F0FBBD01F106D60F0EEE220,10016220,E0EF92A0,0F0FBBD0,1F106D60,F0EEE220,268526112,3773797024,252689360,521170272,4042187296
6,0.1,100,0.22,10015C40E0EB9EC00F13B5B01F146140F0EAEE20,10015C40,E0EB9EC0,0F13B5B0,1F146140,F0EAEE20,268524608,3773537984,252949936,521429312,4041928224
7,0.1,100,0.23,10015680E0E7BB000F179F401F184500F0E70A50,10015680,E0E7BB00,0F179F40,1F184500,F0E70A50,268523136,3773283072,253206336,521684224,4041673296
8,0.1,100,0.23,100150C0E0E3E7600F1B78B01F1C18A0F0E33690,100150C0,E0E3E760,0F1B78B0,1F1C18A0,F0E33690,268521664,3773032288,253458608,521935008,4041422480
9,0.1,100,0.23,10014B20E0E023800F1F42401F1FDC80F0DF7290,10014B20,E0E02380,0F1F4240,1F1FDC80,F0DF7290,268520224,3772785536,253706816,522181760,4041175696
10,0.1,100,0.24,100145C0E0DC6F200F22FC301F2390E0F0DBBE20,100145C0,E0DC6F20,0F22FC30,1F2390E0,F0DBBE20,268518848,3772542752,253951024,522424544,4040932896
11,0.1,100,0.24,10014040E0D8CA000F26A6C01F273600F0D81900,10014040,E0D8CA00,0F26A6C0,1F273600,F0D81900,268517440,3772303872,254191296,522663424,4040694016
12,0.1,100,0.25,10013B00E0D534000F2A42201F2ACC00F0D482E0,10013B00,E0D53400,0F2A4220,1F2ACC00,F0D482E0,268516096,3772068864,254427680,522898432,4040458976
