Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
0,-15.0,20,1.01,0FF5A3D0E0193AC00FF128901FE6C540F01933A0,0FF5A3D0,E0193AC0,0FF12890,1FE6C540,F01933A0,267756496,3759749824,267462800,535217472,4028183456
1,-15.0,20,1.01,0FF58960E0197B400FF102B01FE684C0F01973F0,0FF58960,E0197B40,0FF102B0,1FE684C0,F01973F0,267749728,3759766336,267453104,535200960,4028199920
2,-15.0,20,1.01,0FF56EF0E019BBC00FF0DCD01FE64440F019B440,0FF56EF0,E019BBC0,0FF0DCD0,1FE64440,F019B440,267742960,3759782848,267443408,535184448,4028216384
3,-15.0,20,1.01,0FF55480E019FC200FF0B6F01FE603E0F019F490,0FF55480,E019FC20,0FF0B6F0,1FE603E0,F019F490,267736192,3759799328,267433712,535167968,4028232848
4,-15.0,20,1.01,0FF53A10E01A3CA00FF091101FE5C360F01A34E0,0FF53A10,E01A3CA0,0FF09110,1FE5C360,F01A34E0,267729424,3759815840,267424016,535151456,4028249312
5,-15.0,21,1.01,0FF51FA0E01A7D000FF06B301FE58300F01A7530,0FF51FA0,E01A7D00,0FF06B30,1FE58300,F01A7530,267722656,3759832320,267414320,535134976,4028265776
6,-15.0,21,1.01,0FF4F800E01ADDC00FF032601FE52240F01AD5A0,0FF4F800,E01ADDC0,0FF03260,1FE52240,F01AD5A0,267712512,3759857088,267399776,535110208,4028290464
7,-15.0,21,1.01,0FF4DD90E01B1E200FF00C901FE4E1E0F01B15E0,0FF4DD90,E01B1E20,0FF00C90,1FE4E1E0,F01B15E0,267705744,3759873568,267390096,535093728,4028306912
8,-15.0,21,1.01,0FF4C320E01B5EA00FEFE6B01FE4A160F01B5630,0FF4C320,E01B5EA0,0FEFE6B0,1FE4A160,F01B5630,267698976,3759890080,267380400,535077216,4028323376
9,-15.0,22,1.01,0FF49B80E01BBF400FEFADE01FE440C0F01BB6A0,0FF49B80,E01BBF40,0FEFADE0,1FE440C0,F01BB6A0,267688832,3759914816,267365856,535052480,4028348064
10,-15.0,22,1.01,0FF48110E01BFFC00FEF88101FE40040F01BF6E0,0FF48110,E01BFFC0,0FEF8810,1FE40040,F01BF6E0,267682064,3759931328,267356176,535035968,4028364512
11,-15.0,22,1.01,0FF466B0E01C40200FEF62301FE3BFE0F01C3720,0FF466B0,E01C4020,0FEF6230,1FE3BFE0,F01C3720,267675312,3759947808,267346480,535019488,4028380960
12,-15.0,22,1.01,0FF43F10E01CA0C00FEF29701FE35F40F01C9790,0FF43F10,E01CA0C0,0FEF2970,1FE35F40,F01C9790,267665168,3759972544,267331952,534994752,4028405648
13,-15.0,22,1.01,0FF424A0E01CE1400FEF03901FE31EC0F01CD7D0,0FF424A0,E01CE140,0FEF0390,1FE31EC0,F01CD7D0,267658400,3759989056,267322256,534978240,4028422096
14,-15.0,23,1.01,0FF3FD00E01D41E00FEECAD01FE2BE20F01D3830,0FF3FD00,E01D41E0,0FEECAD0,1FE2BE20,F01D3830,267648256,3760013792,267307728,534953504,4028446768
15,-15.0,23,1.01,0FF3E290E01D82400FEEA4F01FE27DC0F01D7870,0FF3E290,E01D8240,0FEEA4F0,1FE27DC0,F01D7870,267641488,3760030272,267298032,534937024,4028463216
16,-15.0,23,1.01,0FF3BAF0E01DE2E00FEE6C301FE21D20F01DD8D0,0FF3BAF0,E01DE2E0,0FEE6C30,1FE21D20,F01DD8D0,267631344,3760055008,267283504,534912288,4028487888
17,-15.0,23,1.01,0FF3A090E01E23400FEE46601FE1DCC0F01E1910,0FF3A090,E01E2340,0FEE4660,1FE1DCC0,F01E1910,267624592,3760071488,267273824,534895808,4028504336
18,-15.0,24,1.01,0FF378F0E01E83E00FEE0DA01FE17C20F01E7970,0FF378F0,E01E83E0,0FEE0DA0,1FE17C20,F01E7970,267614448,3760096224,267259296,534871072,4028529008
19,-15.0,24,1.01,0FF35E90E01EC4400FEDE7D01FE13BC0F01EB9A0,0FF35E90,E01EC440,0FEDE7D0,1FE13BC0,F01EB9A0,267607696,3760112704,267249616,534854592,4028545440
