Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
0,0.1,20,1.01,10000FC0E00A9D000FF55A701FF56300F00A95E0,10000FC0,E00A9D00,0FF55A70,1FF56300,F00A95E0,268439488,3758791936,267737712,536175360,4027225568
1,0.1,20,1.01,10000FE0E00AB8400FF53F401FF547C0F00AB0F0,10000FE0,E00AB840,0FF53F40,1FF547C0,F00AB0F0,268439520,3758798912,267730752,536168384,4027232496
2,0.1,20,1.01,10001000E00AD3800FF524001FF52C80F00ACC00,10001000,E00AD380,0FF52400,1FF52C80,F00ACC00,268439552,3758805888,267723776,536161408,4027239424
3,0.1,20,1.01,10001020E00AEEA00FF508D01FF51160F00AE710,10001020,E00AEEA0,0FF508D0,1FF51160,F00AE710,268439584,3758812832,267716816,536154464,4027246352
4,0.1,20,1.01,10001060E00B09E00FF4ED901FF4F620F00B0220,10001060,E00B09E0,0FF4ED90,1FF4F620,F00B0220,268439648,3758819808,267709840,536147488,4027253280
5,0.1,21,1.01,10001080E00B25200FF4D2601FF4DAE0F00B1D30,10001080,E00B2520,0FF4D260,1FF4DAE0,F00B1D30,268439680,3758826784,267702880,536140512,4027260208
6,0.1,21,1.01,100010C0E00B4DE00FF4A9901FF4B220F00B45C0,100010C0,E00B4DE0,0FF4A990,1FF4B220,F00B45C0,268439744,3758837216,267692432,536130080,4027270592
7,0.1,21,1.01,100010E0E00B69200FF48E501FF496E0F00B60D0,100010E0,E00B6920,0FF48E50,1FF496E0,F00B60D0,268439776,3758844192,267685456,536123104,4027277520
8,0.1,21,1.01,10001100E00B84600FF473201FF47BA0F00B7BE0,10001100,E00B8460,0FF47320,1FF47BA0,F00B7BE0,268439808,3758851168,267678496,536116128,4027284448
9,0.1,22,1.01,10001140E00BAD200FF44A501FF452E0F00BA470,10001140,E00BAD20,0FF44A50,1FF452E0,F00BA470,268439872,3758861600,267668048,536105696,4027294832
10,0.1,22,1.01,10001160E00BC8600FF42F101FF437A0F00BBF80,10001160,E00BC860,0FF42F10,1FF437A0,F00BBF80,268439904,3758868576,267661072,536098720,4027301760
11,0.1,22,1.01,100011A0E00BE3A00FF413E01FF41C60F00BDA90,100011A0,E00BE3A0,0FF413E0,1FF41C60,F00BDA90,268439968,3758875552,267654112,536091744,4027308688
12,0.1,22,1.01,100011C0E00C0C600FF3EB101FF3F3A0F00C0320,100011C0,E00C0C60,0FF3EB10,1FF3F3A0,F00C0320,268440000,3758885984,267643664,536081312,4027319072
13,0.1,22,1.01,10001200E00C27A00FF3CFD01FF3D860F00C1E30,10001200,E00C27A0,0FF3CFD0,1FF3D860,F00C1E30,268440064,3758892960,267636688,536074336,4027326000
14,0.1,23,1.01,10001240E00C50600FF3A7001FF3AFA0F00C46C0,10001240,E00C5060,0FF3A700,1FF3AFA0,F00C46C0,268440128,3758903392,267626240,536063904,4027336384
15,0.1,23,1.01,10001260E00C6BA00FF38BD01FF39460F00C61D0,10001260,E00C6BA0,0FF38BD0,1FF39460,F00C61D0,268440160,3758910368,267619280,536056928,4027343312
16,0.1,23,1.01,100012A0E00C94800FF363001FF36B80F00C8A60,100012A0,E00C9480,0FF36300,1FF36B80,F00C8A60,268440224,3758920832,267608832,536046464,4027353696
17,0.1,23,1.01,100012C0E00CAFC00FF347D01FF35040F00CA570,100012C0,E00CAFC0,0FF347D0,1FF35040,F00CA570,268440256,3758927808,267601872,536039488,4027360624
18,0.1,24,1.01,10001300E00CD8800FF31F001FF32780F00CCE00,10001300,E00CD880,0FF31F00,1FF32780,F00CCE00,268440320,3758938240,267591424,536029056,4027371008
19,0.1,24,1.01,10001320E00CF3C00FF303D01FF30C40F00CE910,10001320,E00CF3C0,0FF303D0,1FF30C40,F00CE910,268440352,3758945216,267584464,536022080,4027377936
20,0.1,24,1.01,10001360E00D1CA00FF2DB001FF2E360F00D11A0,10001360,E00D1CA0,0FF2DB00,1FF2E360,F00D11A0,268440416,3758955680,267574016,536011616,4027388320
21,0.1,25,1.01,100013A0E00D45600FF2B2301FF2BAA0F00D3A40,100013A0,E00D4560,0FF2B230,1FF2BAA0,F00D3A40,268440480,3758966112,267563568,536001184,4027398720
22,0.1,25,1.01,100013C0E00D60A00FF297001FF29F60F00D5540,100013C0,E00D60A0,0FF29700,1FF29F60,F00D5540,268440512,3758973088,267556608,535994208,4027405632
23,0.1,25,1.01,10001400E00D89800FF26E301FF27680F00D7DD0,10001400,E00D8980,0FF26E30,1FF27680,F00D7DD0,268440576,3758983552,267546160,535983744,4027416016
24,0.1,25,1.01,10001440E00DB2600FF245601FF24DA0F00DA660,10001440,E00DB260,0FF24560,1FF24DA0,F00DA660,268440640,3758994016,267535712,535973280,4027426400
25,0.1,26,1.01,10001460E00DCDA00FF22A301FF23260F00DC170,10001460,E00DCDA0,0FF22A30,1FF23260,F00DC170,268440672,3759000992,267528752,535966304,4027433328
26,0.1,26,1.01,100014A0E00DF6600FF201601FF209A0F00DEA00,100014A0,E00DF660,0FF20160,1FF209A0,F00DEA00,268440736,3759011424,267518304,535955872,4027443712
27,0.1,26,1.01,100014E0E00E1F400FF1D8901FF1E0C0F00E1290,100014E0,E00E1F40,0FF1D890,1FF1E0C0,F00E1290,268440800,3759021888,267507856,535945408,4027454096
28,0.1,26,1.01,10001520E00E48200FF1AFD01FF1B7E0F00E3B20,10001520,E00E4820,0FF1AFD0,1FF1B7E0,F00E3B20,268440864,3759032352,267497424,535934944,4027464480
29,0.1,27,1.01,10001560E00E71000FF187001FF18F00F00E63B0,10001560,E00E7100,0FF18700,1FF18F00,F00E63B0,268440928,3759042816,267486976,535924480,4027474864
30,0.1,27,1.01,10001580E00E99C00FF15E301FF16640F00E8C40,10001580,E00E99C0,0FF15E30,1FF16640,F00E8C40,268440960,3759053248,267476528,535914048,4027485248
31,0.1,27,1.01,100015C0E00EC2A00FF135701FF13D60F00EB4D0,100015C0,E00EC2A0,0FF13570,1FF13D60,F00EB4D0,268441024,3759063712,267466096,535903584,4027495632
32,0.1,28,1.01,10001600E00EEB800FF10CA01FF11480F00EDD60,10001600,E00EEB80,0FF10CA0,1FF11480,F00EDD60,268441088,3759074176,267455648,535893120,4027506016
33,0.1,28,1.01,10001640E00F14600FF0E3D01FF0EBA0F00F05E0,10001640,E00F1460,0FF0E3D0,1FF0EBA0,F00F05E0,268441152,3759084640,267445200,535882656,4027516384
34,0.1,28,1.01,10001680E00F3D400FF0BB101FF0C2C0F00F2E70,10001680,E00F3D40,0FF0BB10,1FF0C2C0,F00F2E70,268441216,3759095104,267434768,535872192,4027526768
35,0.1,29,1.01,100016C0E00F66200FF092401FF099E0F00F5700,100016C0,E00F6620,0FF09240,1FF099E0,F00F5700,268441280,3759105568,267424320,535861728,4027537152
36,0.1,29,1.01,10001700E00F8F000FF069801FF07100F00F7F90,10001700,E00F8F00,0FF06980,1FF07100,F00F7F90,268441344,3759116032,267413888,535851264,4027547536
37,0.1,29,1.01,10001740E00FB7C00FF040B01FF04840F00FA810,10001740,E00FB7C0,0FF040B0,1FF04840,F00FA810,268441408,3759126464,267403440,535840832,4027557904
38,0.1,29,1.01,10001780E00FE0A00FF017F01FF01F60F00FD0A0,10001780,E00FE0A0,0FF017F0,1FF01F60,F00FD0A0,268441472,3759136928,267393008,535830368,4027568288
39,0.1,30,1.01,100017A0E01009800FEFEF201FEFF680F00FF930,100017A0,E0100980,0FEFEF20,1FEFF680,F00FF930,268441504,3759147392,267382560,535819904,4027578672
40,0.1,30,1.01,10001800E01040000FEFB8D01FEFC000F0102F40,10001800,E0104000,0FEFB8D0,1FEFC000,F0102F40,268441600,3759161344,267368656,535805952,4027592512
