Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
0,-15.0,20,0.2,0FCC8810E07D3AA00FB644601F82C560F07D3390,0FCC8810,E07D3AA0,0FB64460,1F82C560,F07D3390,265062416,3766303392,263603296,528663904,4034737040
1,-15.0,20,0.2,0FCC0650E07E76600FB58A901F8189A0F07E6F20,0FCC0650,E07E7660,0FB58A90,1F8189A0,F07E6F20,265029200,3766384224,263555728,528583072,4034817824
2,-15.0,20,0.2,0FCB84A0E07FB2000FB4D0C01F804E00F07FAAA0,0FCB84A0,E07FB200,0FB4D0C0,1F804E00,F07FAAA0,264996000,3766465024,263508160,528502272,4034898592
3,-15.0,20,0.2,0FCB0300E080ED800FB417001F7F1280F080E600,0FCB0300,E080ED80,0FB41700,1F7F1280,F080E600,264962816,3766545792,263460608,528421504,4034979328
4,-15.0,20,0.2,0FCA8160E08228E00FB35D601F7DD720F0822140,0FCA8160,E08228E0,0FB35D60,1F7DD720,F0822140,264929632,3766626528,263413088,528340768,4035060032
5,-15.0,21,0.2,0FC9FFD0E08364400FB2A3C01F7C9BC0F0835C70,0FC9FFD0,E0836440,0FB2A3C0,1F7C9BC0,F0835C70,264896464,3766707264,263365568,528260032,4035140720
6,-15.0,21,0.2,0FC93D90E0853D000FB18D701F7AC300F0853510,0FC93D90,E0853D00,0FB18D70,1F7AC300,F0853510,264846736,3766828288,263294320,528139008,4035261712
7,-15.0,21,0.2,0FC8BC10E08678200FB0D3F01F7987E0F0867000,0FC8BC10,E0867820,0FB0D3F0,1F7987E0,F0867000,264813584,3766908960,263246832,528058336,4035342336
8,-15.0,21,0.2,0FC83AA0E087B3200FB01A801F784CE0F087AAD0,0FC83AA0,E087B320,0FB01A80,1F784CE0,F087AAD0,264780448,3766989600,263199360,527977696,4035422928
9,-15.0,22,0.2,0FC77890E0898B800FAF04801F767480F08982F0,0FC77890,E0898B80,0FAF0480,1F767480,F08982F0,264730768,3767110528,263128192,527856768,4035543792
10,-15.0,22,0.2,0FC6F740E08AC6400FAE4B401F7539C0F08ABD80,0FC6F740,E08AC640,0FAE4B40,1F7539C0,F08ABD80,264697664,3767191104,263080768,527776192,4035624320
11,-15.0,22,0.2,0FC675F0E08C00E00FAD92001F73FF20F08BF810,0FC675F0,E08C00E0,0FAD9200,1F73FF20,F08BF810,264664560,3767271648,263033344,527695648,4035704848
12,-15.0,22,0.2,0FC5B410E08DD8C00FAC7C501F722740F08DCFA0,0FC5B410,E08DD8C0,0FAC7C50,1F722740,F08DCFA0,264614928,3767392448,262962256,527574848,4035825568
13,-15.0,22,0.2,0FC532E0E08F13200FABC3301F70ECE0F08F09E0,0FC532E0,E08F1320,0FABC330,1F70ECE0,F08F09E0,264581856,3767472928,262914864,527494368,4035906016
14,-15.0,23,0.2,0FC47130E090EAA00FAAADB01F6F1560F090E120,0FC47130,E090EAA0,0FAAADB0,1F6F1560,F090E120,264532272,3767593632,262843824,527373664,4036026656
15,-15.0,23,0.2,0FC3F010E09224C00FA9F4C01F6DDB40F0921B20,0FC3F010,E09224C0,0FA9F4C0,1F6DDB40,F0921B20,264499216,3767674048,262796480,527293248,4036107040
16,-15.0,23,0.2,0FC32E80E093FBE00FA8DF701F6C0420F093F200,0FC32E80,E093FBE0,0FA8DF70,1F6C0420,F093F200,264449664,3767794656,262725488,527172640,4036227584
17,-15.0,23,0.2,0FC2AD80E09535E00FA826B01F6ACA20F0952BD0,0FC2AD80,E09535E0,0FA826B0,1F6ACA20,F0952BD0,264416640,3767875040,262678192,527092256,4036307920
18,-15.0,24,0.2,0FC1EC20E0970CA00FA711901F68F360F0970250,0FC1EC20,E0970CA0,0FA71190,1F68F360,F0970250,264367136,3767995552,262607248,526971744,4036428368
19,-15.0,24,0.2,0FC16B30E09846600FA658F01F67B9A0F0983BE0,0FC16B30,E0984660,0FA658F0,1F67B9A0,F0983BE0,264334128,3768075872,262559984,526891424,4036508640
20,-15.0,24,0.2,0FC0A9F0E09A1CC00FA544101F65E340F09A1200,0FC0A9F0,E09A1CC0,0FA54410,1F65E340,F09A1200,264284656,3768196288,262489104,526771008,4036628992
21,-15.0,25,0.2,0FBFE8C0E09BF3000FA42F501F640D00F09BE7F0,0FBFE8C0,E09BF300,0FA42F50,1F640D00,F09BE7F0,264235200,3768316672,262418256,526650624,4036749296
22,-15.0,25,0.2,0FBF6800E09D2C400FA376E01F62D3C0F09D2120,0FBF6800,E09D2C40,0FA376E0,1F62D3C0,F09D2120,264202240,3768396864,262371040,526570432,4036829472
23,-15.0,25,0.2,0FBEA700E09F02200FA262501F60FDE0F09EF6B0,0FBEA700,E09F0220,0FA26250,1F60FDE0,F09EF6B0,264152832,3768517152,262300240,526450144,4036949680
24,-15.0,25,0.2,0FBDE610E0A0D7C00FA14DF01F5F2840F0A0CC10,0FBDE610,E0A0D7C0,0FA14DF0,1F5F2840,F0A0CC10,264103440,3768637376,262229488,526329920,4037069840
