Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
0,15.0,20,0.2,10341FA0E01693600FB554301FE96CA0F0168C30,10341FA0,E0169360,0FB55430,1FE96CA0,F0168C30,271851424,3759575904,263541808,535391392,4028009520
1,15.0,20,0.2,1034A4C0E016CD200FB495901FE932E0F016C5C0,1034A4C0,E016CD20,0FB49590,1FE932E0,F016C5C0,271885504,3759590688,263493008,535376608,4028024256
2,15.0,20,0.2,103529C0E01706C00FB3D6F01FE8F940F016FF50,103529C0,E01706C0,0FB3D6F0,1FE8F940,F016FF50,271919552,3759605440,263444208,535361856,4028038992
3,15.0,20,0.2,1035AEC0E01740800FB318501FE8BF80F01738E0,1035AEC0,E0174080,0FB31850,1FE8BF80,F01738E0,271953600,3759620224,263395408,535347072,4028053728
4,15.0,20,0.2,103633E0E0177A200FB259C01FE885E0F0177270,103633E0,E0177A20,0FB259C0,1FE885E0,F0177270,271987680,3759634976,263346624,535332320,4028068464
5,15.0,21,0.2,1036B8E0E017B3E00FB19B201FE84C20F017AC00,1036B8E0,E017B3E0,0FB19B20,1FE84C20,F017AC00,272021728,3759649760,263297824,535317536,4028083200
6,15.0,21,0.2,10378060E0180A600FB07D501FE7F5A0F0180250,10378060,E0180A60,0FB07D50,1FE7F5A0,F0180250,272072800,3759671904,263224656,535295392,4028105296
7,15.0,21,0.2,10380560E01844200FAFBEC01FE7BBE0F0183BD0,10380560,E0184420,0FAFBEC0,1FE7BBE0,F0183BD0,272106848,3759686688,263175872,535280608,4028120016
8,15.0,21,0.2,10388A80E0187DC00FAF00301FE78240F0187560,10388A80,E0187DC0,0FAF0030,1FE78240,F0187560,272140928,3759701440,263127088,535265856,4028134752
9,15.0,22,0.2,10395200E018D4600FADE2601FE72BA0F018CBB0,10395200,E018D460,0FADE260,1FE72BA0,F018CBB0,272192000,3759723616,263053920,535243680,4028156848
10,15.0,22,0.2,1039D6E0E0190E000FAD23E01FE6F200F0190530,1039D6E0,E0190E00,0FAD23E0,1FE6F200,F0190530,272226016,3759738368,263005152,535228928,4028171568
11,15.0,22,0.2,103A5BE0E01947C00FAC65601FE6B840F0193EC0,103A5BE0,E01947C0,0FAC6560,1FE6B840,F0193EC0,272260064,3759753152,262956384,535214144,4028186304
12,15.0,22,0.2,103B2360E0199E400FAB47A01FE661C0F0199500,103B2360,E0199E40,0FAB47A0,1FE661C0,F0199500,272311136,3759775296,262883232,535192000,4028208384
13,15.0,22,0.2,103BA860E019D7E00FAA89201FE62820F019CE80,103BA860,E019D7E0,0FAA8920,1FE62820,F019CE80,272345184,3759790048,262834464,535177248,4028223104
