Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
0,-15.0,20,0.2,0FCC8810E07D3AA00FB644601F82C560F07D3390,0FCC8810,E07D3AA0,0FB64460,1F82C560,F07D3390,265062416,3766303392,263603296,528663904,4034737040
1,-14.8,20,0.2,0FCD5E40E07BD1400FB6D7901F842EC0F07BCA40,0FCD5E40,E07BD140,0FB6D790,1F842EC0,F07BCA40,265117248,3766210880,263640976,528756416,4034644544
2,-14.7,20,0.2,0FCDC8B0E07B1E200FB720401F84E1E0F07B1710,0FCDC8B0,E07B1E20,0FB72040,1F84E1E0,F07B1710,265144496,3766165024,263659584,528802272,4034598672
3,-14.6,20,0.2,0FCE32D0E07A6C000FB768501F859400F07A64E0,0FCE32D0,E07A6C00,0FB76850,1F859400,F07A64E0,265171664,3766119424,263678032,528847872,4034553056
4,-14.5,20,0.2,0FCE9C70E079BAC00FB7AFD01F864540F079B3B0,0FCE9C70,E079BAC0,0FB7AFD0,1F864540,F079B3B0,265198704,3766074048,263696336,528893248,4034507696
5,-14.4,20,0.2,0FCF05C0E0790AA00FB7F6C01F86F560F0790380,0FCF05C0,E0790AA0,0FB7F6C0,1F86F560,F0790380,265225664,3766028960,263714496,528938336,4034462592
6,-14.2,20,0.2,0FCFD720E077AD200FB882C01F8852E0F077A610,0FCFD720,E077AD20,0FB882C0,1F8852E0,F077A610,265279264,3765939488,263750336,529027808,4034373136
7,-14.1,20,0.2,0FD03F40E076FFE00FB8C7E01F890020F076F8D0,0FD03F40,E076FFE0,0FB8C7E0,1F890020,F076F8D0,265305920,3765895136,263768032,529072160,4034328784
8,-14.0,20,0.2,0FD0A700E07653A00FB90C701F89AC60F0764C80,0FD0A700,E07653A0,0FB90C70,1F89AC60,F0764C80,265332480,3765851040,263785584,529116256,4034284672
9,-13.9,20,0.2,0FD10E60E075A8400FB950701F8A57C0F075A130,0FD10E60,E075A840,0FB95070,1F8A57C0,F075A130,265358944,3765807168,263802992,529160128,4034240816
10,-13.8,20,0.2,0FD17560E074FDE00FB993D01F8B0220F074F6D0,0FD17560,E074FDE0,0FB993D0,1F8B0220,F074F6D0,265385312,3765763552,263820240,529203744,4034197200
11,-13.7,20,0.2,0FD1DC00E07454800FB9D6A01F8BAB80F0744D60,0FD1DC00,E0745480,0FB9D6A0,1F8BAB80,F0744D60,265411584,3765720192,263837344,529247104,4034153824
12,-13.5,20,0.2,0FD2A820E07304800FBA5A901F8CFB80F072FD60,0FD2A820,E0730480,0FBA5A90,1F8CFB80,F072FD60,265463840,3765634176,263871120,529333120,4034067808
13,-13.4,20,0.2,0FD30DA0E0725DE00FBA9BA01F8DA220F07256C0,0FD30DA0,E0725DE0,0FBA9BA0,1F8DA220,F07256C0,265489824,3765591520,263887776,529375776,4034025152
14,-13.3,20,0.2,0FD372C0E071B8200FBADC301F8E47E0F071B110,0FD372C0,E071B820,0FBADC30,1F8E47E0,F071B110,265515712,3765549088,263904304,529418208,4033982736
15,-13.2,20,0.2,0FD3D790E07113600FBB1C201F8EECA0F0710C50,0FD3D790,E0711360,0FBB1C20,1F8EECA0,F0710C50,265541520,3765506912,263920672,529460384,4033940560
16,-13.1,20,0.2,0FD43C00E0706F800FBB5B801F8F9080F0706880,0FD43C00,E0706F80,0FBB5B80,1F8F9080,F0706880,265567232,3765464960,263936896,529502336,4033898624
17,-13.0,20,0.2,0FD4A020E06FCCA00FBB9A501F903360F06FC590,0FD4A020,E06FCCA0,0FBB9A50,1F903360,F06FC590,265592864,3765423264,263952976,529544032,4033856912
18,-12.8,20,0.2,0FD56740E06E89800FBC16501F917680F06E8270,0FD56740,E06E8980,0FBC1650,1F917680,F06E8270,265643840,3765340544,263984720,529626752,4033774192
19,-12.7,20,0.2,0FD5CA50E06DE9600FBC53701F9216A0F06DE240,0FD5CA50,E06DE960,0FBC5370,1F9216A0,F06DE240,265669200,3765299552,264000368,529667744,4033733184
20,-12.6,20,0.2,0FD62D10E06D4A000FBC90101F92B600F06D42F0,0FD62D10,E06D4A00,0FBC9010,1F92B600,F06D42F0,265694480,3765258752,264015888,529708544,4033692400
21,-12.5,20,0.2,0FD68F70E06CABA00FBCCC101F935460F06CA480,0FD68F70,E06CABA0,0FBCCC10,1F935460,F06CA480,265719664,3765218208,264031248,529749088,4033651840
22,-12.4,20,0.2,0FD6F180E06C0E000FBD07901F93F200F06C06F0,0FD6F180,E06C0E00,0FBD0790,1F93F200,F06C06F0,265744768,3765177856,264046480,529789440,4033611504
23,-12.2,20,0.2,0FD7B4A0E06AD5A00FBD7CE01F952A60F06ACE80,0FD7B4A0,E06AD5A0,0FBD7CE0,1F952A60,F06ACE80,265794720,3765097888,264076512,529869408,4033531520
