Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
0,-15.0,77,1.77,0FE96E50E03750C00FDFAB001FC8AF40F036E6C0,0FE96E50,E03750C0,0FDFAB00,1FC8AF40,F036E6C0,266956368,3761721536,266316544,533245760,4030129856
1,-14.8,77,1.77,0FE9CCC0E036B1000FDFEC501FC94F00F03646E0,0FE9CCC0,E036B100,0FDFEC50,1FC94F00,F03646E0,266980544,3761680640,266333264,533286656,4030088928
2,-14.7,77,1.77,0FE9FBC0E03661C00FE00C901FC99E40F035F7B0,0FE9FBC0,E03661C0,0FE00C90,1FC99E40,F035F7B0,266992576,3761660352,266341520,533306944,4030068656
3,-14.6,77,1.77,0FEA2A80E03613000FE02C901FC9ED00F035A8E0,0FEA2A80,E0361300,0FE02C90,1FC9ED00,F035A8E0,267004544,3761640192,266349712,533327104,4030048480
4,-14.5,77,1.77,0FEA5920E035C4A00FE04C501FCA3B60F0355A90,0FEA5920,E035C4A0,0FE04C50,1FCA3B60,F0355A90,267016480,3761620128,266357840,533347168,4030028432
5,-14.4,77,1.77,0FEA8790E03576C00FE06BD01FCA8940F0350CB0,0FEA8790,E03576C0,0FE06BD0,1FCA8940,F0350CB0,267028368,3761600192,266365904,533367104,4030008496
6,-14.2,77,1.77,0FEAE3E0E034DC600FE0A9F01FCB23A0F0347230,0FEAE3E0,E034DC60,0FE0A9F0,1FCB23A0,F0347230,267052000,3761560672,266381808,533406624,4029968944
7,-14.1,77,1.77,0FEB11C0E0348FC00FE0C8A01FCB7040F03425A0,0FEB11C0,E0348FC0,0FE0C8A0,1FCB7040,F03425A0,267063744,3761541056,266389664,533426240,4029949344
8,-14.0,77,1.77,0FEB3F70E03443A00FE0E7101FCBBC60F033D980,0FEB3F70,E03443A0,0FE0E710,1FCBBC60,F033D980,267075440,3761521568,266397456,533445728,4029929856
9,-13.9,77,1.77,0FEB6D00E033F7E00FE105301FCC0820F0338DC0,0FEB6D00,E033F7E0,0FE10530,1FCC0820,F0338DC0,267087104,3761502176,266405168,533465120,4029910464
10,-13.8,77,1.77,0FEB9A60E033ACA00FE123201FCC5360F0334280,0FEB9A60,E033ACA0,0FE12320,1FCC5360,F0334280,267098720,3761482912,266412832,533484384,4029891200
11,-13.7,77,1.77,0FEBC7A0E03361C00FE140C01FCC9E40F032F7A0,0FEBC7A0,E03361C0,0FE140C0,1FCC9E40,F032F7A0,267110304,3761463744,266420416,533503552,4029872032
12,-13.5,77,1.77,0FEC2180E032CD600FE17B401FCD32A0F0326330,0FEC2180,E032CD60,0FE17B40,1FCD32A0,F0326330,267133312,3761425760,266435392,533541536,4029834032
13,-13.4,77,1.77,0FEC4E40E03283C00FE198201FCD7C40F03219A0,0FEC4E40,E03283C0,0FE19820,1FCD7C40,F03219A0,267144768,3761406912,266442784,533560384,4029815200
14,-13.3,77,1.77,0FEC7AC0E0323AA00FE1B4C01FCDC560F031D070,0FEC7AC0,E0323AA0,0FE1B4C0,1FCDC560,F031D070,267156160,3761388192,266450112,533579104,4029796464
15,-13.2,77,1.77,0FECA730E031F1E00FE1D1201FCE0E20F03187B0,0FECA730,E031F1E0,0FE1D120,1FCE0E20,F03187B0,267167536,3761369568,266457376,533597728,4029777840
16,-13.1,77,1.77,0FECD360E031A9800FE1ED401FCE5680F0313F60,0FECD360,E031A980,0FE1ED40,1FCE5680,F0313F60,267178848,3761351040,266464576,533616256,4029759328
17,-13.0,77,1.77,0FECFF70E03161A00FE209201FCE9E60F030F770,0FECFF70,E03161A0,0FE20920,1FCE9E60,F030F770,267190128,3761332640,266471712,533634656,4029740912
