Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
0,-15.0,301,16.0,0FF632C0E01E2EC00FF1F5501FE1D140F017D7E0,0FF632C0,E01E2EC0,0FF1F550,1FE1D140,F017D7E0,267793088,3760074432,267515216,534892864,4028094432
1,-14.8,301,16.0,0FF65BF0E01DE9200FF211E01FE216E0F0179240,0FF65BF0,E01DE920,0FF211E0,1FE216E0,F0179240,267803632,3760056608,267522528,534910688,4028076608
2,-14.7,301,16.0,0FF67060E01DC6A00FF21FF01FE23960F0176FB0,0FF67060,E01DC6A0,0FF21FF0,1FE23960,F0176FB0,267808864,3760047776,267526128,534919520,4028067760
3,-14.6,301,16.0,0FF684C0E01DA4600FF22DF01FE25BA0F0174D60,0FF684C0,E01DA460,0FF22DF0,1FE25BA0,F0174D60,267814080,3760039008,267529712,534928288,4028058976
4,-14.5,301,16.0,0FF69900E01D82400FF23BC01FE27DC0F0172B30,0FF69900,E01D8240,0FF23BC0,1FE27DC0,F0172B30,267819264,3760030272,267533248,534937024,4028050224
5,-14.4,301,16.0,0FF6AD30E01D60400FF249801FE29FC0F0170940,0FF6AD30,E01D6040,0FF24980,1FE29FC0,F0170940,267824432,3760021568,267536768,534945728,4028041536
6,-14.2,301,16.0,0FF6D560E01D1D000FF264A01FE2E300F016C5F0,0FF6D560,E01D1D00,0FF264A0,1FE2E300,F016C5F0,267834720,3760004352,267543712,534962944,4028024304
7,-14.1,301,16.0,0FF6E960E01CFBC00FF272101FE30440F016A490,0FF6E960,E01CFBC0,0FF27210,1FE30440,F016A490,267839840,3759995840,267547152,534971456,4028015760
8,-14.0,301,16.0,0FF6FD40E01CDA800FF27F501FE32580F0168360,0FF6FD40,E01CDA80,0FF27F50,1FE32580,F0168360,267844928,3759987328,267550544,534979968,4028007264
9,-13.9,301,16.0,0FF71120E01CB9A00FF28C801FE34660F0166260,0FF71120,E01CB9A0,0FF28C80,1FE34660,F0166260,267850016,3759978912,267553920,534988384,4027998816
10,-13.8,301,16.0,0FF724E0E01C98C00FF299901FE36740F01641A0,0FF724E0,E01C98C0,0FF29990,1FE36740,F01641A0,267855072,3759970496,267557264,534996800,4027990432
11,-13.7,301,16.0,0FF73880E01C78400FF2A6801FE387C0F0162100,0FF73880,E01C7840,0FF2A680,1FE387C0,F0162100,267860096,3759962176,267560576,535005120,4027982080
12,-13.5,301,16.0,0FF75FA0E01C37A00FF2C0101FE3C860F015E050,0FF75FA0,E01C37A0,0FF2C010,1FE3C860,F015E050,267870112,3759945632,267567120,535021664,4027965520
13,-13.4,301,16.0,0FF77320E01C17800FF2CCA01FE3E880F015C040,0FF77320,E01C1780,0FF2CCA0,1FE3E880,F015C040,267875104,3759937408,267570336,535029888,4027957312
14,-13.3,301,16.0,0FF78680E01BF7C00FF2D9201FE40840F015A060,0FF78680,E01BF7C0,0FF2D920,1FE40840,F015A060,267880064,3759929280,267573536,535038016,4027949152
15,-13.2,301,16.0,0FF799D0E01BD8000FF2E5801FE42800F01580B0,0FF799D0,E01BD800,0FF2E580,1FE42800,F01580B0,267885008,3759921152,267576704,535046144,4027941040
16,-13.1,301,16.0,0FF7AD10E01BB8800FF2F1D01FE44780F0156130,0FF7AD10,E01BB880,0FF2F1D0,1FE44780,F0156130,267889936,3759913088,267579856,535054208,4027932976
17,-13.0,301,16.0,0FF7C040E01B99400FF2FDF01FE466C0F01541D0,0FF7C040,E01B9940,0FF2FDF0,1FE466C0,F01541D0,267894848,3759905088,267582960,535062208,4027924944
18,-12.8,301,16.0,0FF7E660E01B5B200FF315F01FE4A4E0F01503B0,0FF7E660,E01B5B20,0FF315F0,1FE4A4E0,F01503B0,267904608,3759889184,267589104,535078112,4027909040
19,-12.7,301,16.0,0FF7F950E01B3C600FF321C01FE4C3A0F014E4E0,0FF7F950,E01B3C60,0FF321C0,1FE4C3A0,F014E4E0,267909456,3759881312,267592128,535085984,4027901152
20,-12.6,301,16.0,0FF80C40E01B1DC00FF32D801FE4E240F014C640,0FF80C40,E01B1DC0,0FF32D80,1FE4E240,F014C640,267914304,3759873472,267595136,535093824,4027893312
21,-12.5,301,16.0,0FF81F10E01AFF600FF339201FE500A0F014A7D0,0FF81F10,E01AFF60,0FF33920,1FE500A0,F014A7D0,267919120,3759865696,267598112,535101600,4027885520
22,-12.4,301,16.0,0FF831D0E01AE1200FF344A01FE51EE0F0148990,0FF831D0,E01AE120,0FF344A0,1FE51EE0,F0148990,267923920,3759857952,267601056,535109344,4027877776
23,-12.2,301,16.0,0FF85730E01AA5200FF35B501FE55AE0F0144D80,0FF85730,E01AA520,0FF35B50,1FE55AE0,F0144D80,267933488,3759842592,267606864,535124704,4027862400
24,-12.1,301,16.0,0FF869C0E01A87600FF366801FE578A0F0142FC0,0FF869C0,E01A8760,0FF36680,1FE578A0,F0142FC0,267938240,3759834976,267609728,535132320,4027854784
25,-12.0,301,16.0,0FF87C40E01A69C00FF371901FE59640F0141230,0FF87C40,E01A69C0,0FF37190,1FE59640,F0141230,267942976,3759827392,267612560,535139904,4027847216
26,-11.9,301,16.0,0FF88EB0E01A4C600FF37C901FE5B3A0F013F4C0,0FF88EB0,E01A4C60,0FF37C90,1FE5B3A0,F013F4C0,267947696,3759819872,267615376,535147424,4027839680
27,-11.8,301,16.0,0FF8A110E01A2F200FF387701FE5D0E0F013D780,0FF8A110,E01A2F20,0FF38770,1FE5D0E0,F013D780,267952400,3759812384,267618160,535154912,4027832192
28,-11.7,301,16.0,0FF8B360E01A12200FF392301FE5EDE0F013BA70,0FF8B360,E01A1220,0FF39230,1FE5EDE0,F013BA70,267957088,3759804960,267620912,535162336,4027824752
29,-11.5,301,16.0,0FF8D7E0E019D8800FF3A7701FE62780F01380C0,0FF8D7E0,E019D880,0FF3A770,1FE62780,F01380C0,267966432,3759790208,267626352,535177088,4027809984
30,-11.4,301,16.0,0FF8EA00E019BBE00FF3B1E01FE64420F0136420,0FF8EA00,E019BBE0,0FF3B1E0,1FE64420,F0136420,267971072,3759782880,267629024,535184416,4027802656
31,-11.3,301,16.0,0FF8FC10E0199F800FF3BC301FE66080F01347B0,0FF8FC10,E0199F80,0FF3BC30,1FE66080,F01347B0,267975696,3759775616,267631664,535191680,4027795376
32,-11.2,301,16.0,0FF90E10E01983400FF3C6701FE67CC0F0132B70,0FF90E10,E0198340,0FF3C670,1FE67CC0,F0132B70,267980304,3759768384,267634288,535198912,4027788144
33,-11.1,301,16.0,0FF92010E01967200FF3D0A01FE698E0F0130F60,0FF92010,E0196720,0FF3D0A0,1FE698E0,F0130F60,267984912,3759761184,267636896,535206112,4027780960
34,-11.0,301,16.0,0FF931F0E0194B400FF3DAA01FE6B4C0F012F370,0FF931F0,E0194B40,0FF3DAA0,1FE6B4C0,F012F370,267989488,3759754048,267639456,535213248,4027773808
35,-10.8,301,16.0,0FF95590E01913E00FF3EE701FE6EC20F012BC00,0FF95590,E01913E0,0FF3EE70,1FE6EC20,F012BC00,267998608,3759739872,267644528,535227424,4027759616
36,-10.7,301,16.0,0FF96750E018F8800FF3F8201FE70780F012A090,0FF96750,E018F880,0FF3F820,1FE70780,F012A090,268003152,3759732864,267647008,535234432,4027752592
37,-10.6,301,16.0,0FF97900E018DD200FF401C01FE722E0F0128540,0FF97900,E018DD20,0FF401C0,1FE722E0,F0128540,268007680,3759725856,267649472,535241440,4027745600
38,-10.5,301,16.0,0FF98AA0E018C2000FF40B501FE73E00F0126A10,0FF98AA0,E018C200,0FF40B50,1FE73E00,F0126A10,268012192,3759718912,267651920,535248384,4027738640
39,-10.4,301,16.0,0FF99C30E018A7000FF414C01FE75900F0124F10,0FF99C30,E018A700,0FF414C0,1FE75900,F0124F10,268016688,3759712000,267654336,535255296,4027731728
40,-10.2,301,16.0,0FF9BF30E01871A00FF427401FE78E60F0121990,0FF9BF30,E01871A0,0FF42740,1FE78E60,F0121990,268025648,3759698336,267659072,535268960,4027718032
41,-10.1,301,16.0,0FF9D090E01857000FF430601FE7A900F011FF00,0FF9D090,E0185700,0FF43060,1FE7A900,F011FF00,268030096,3759691520,267661408,535275776,4027711232
42,-10.0,301,16.0,0FF9E1F0E0183CA00FF439701FE7C360F011E4A0,0FF9E1F0,E0183CA0,0FF43970,1FE7C360,F011E4A0,268034544,3759684768,267663728,535282528,4027704480
43,-9.9,301,16.0,0FF9F340E01822800FF442601FE7DD80F011CA60,0FF9F340,E0182280,0FF44260,1FE7DD80,F011CA60,268038976,3759678080,267666016,535289216,4027697760
44,-9.8,301,16.0,0FFA0480E01808600FF44B301FE7F7A0F011B050,0FFA0480,E0180860,0FF44B30,1FE7F7A0,F011B050,268043392,3759671392,267668272,535295904,4027691088
